base_beta,sigma,corr_len,sample_idx,alpha_min,sep_event
-0.18,0.03,0.3,17,-0.4061837775783086,1
-0.18,0.03,0.3,18,-0.40830410092243286,1
-0.18,0.03,0.3,19,-0.40803520719286723,1
-0.18,0.03,0.3,20,-0.4058634280287661,1
-0.18,0.03,0.3,21,-0.4081669166577119,1
-0.18,0.03,0.3,22,-0.40841136063148964,1
-0.18,0.03,0.3,23,-0.4076264987899484,1
-0.18,0.03,0.3,24,-0.40769457792960967,1
-0.18,0.03,0.3,25,-0.3902084698088835,1
-0.18,0.03,0.3,26,-0.40052195266505103,1
-0.18,0.03,0.3,27,-0.4022585517295247,1
-0.18,0.03,0.3,28,-0.40822895433262135,1
-0.18,0.03,0.3,29,-0.4065604064069388,1
-0.18,0.03,0.3,30,-0.4081696100657542,1
-0.18,0.03,0.3,31,-0.40539664353800436,1
-0.18,0.03,0.3,32,-0.4056004901717551,1
-0.18,0.03,0.3,33,-0.4083065740766355,1
-0.18,0.03,0.3,34,-0.4076166847302219,1
-0.18,0.03,0.3,35,-0.40644282217744393,1
-0.18,0.03,0.3,36,-0.40841757184937943,1
-0.18,0.03,0.3,37,-0.40734943637666055,1
-0.18,0.03,0.3,38,-0.40777565088723927,1
-0.18,0.03,0.3,39,-0.4076038346209043,1
-0.18,0.03,0.3,40,-0.4084253476568486,1
-0.18,0.03,0.3,41,-0.40252385122635076,1
-0.18,0.03,0.3,42,-0.407701339327728,1
-0.18,0.03,0.3,43,-0.4006099450821191,1
-0.18,0.03,0.3,44,-0.40436470831811344,1
-0.18,0.03,0.3,45,-0.3936497264689888,1
-0.18,0.03,0.3,46,-0.4076304158419867,1
-0.18,0.03,0.3,47,-0.4072918557751105,1
-0.18,0.03,0.3,48,-0.403284257567525,1
-0.18,0.03,0.3,49,-0.4072269722518065,1
-0.18,0.03,0.3,50,-0.4051273135409023,1
-0.18,0.03,0.3,51,-0.4065162373912911,1
-0.18,0.03,0.3,52,-0.4060036888756553,1
-0.18,0.03,0.3,53,-0.4081620901051844,1
-0.18,0.03,0.3,54,-0.4069039621354264,1
-0.18,0.03,0.3,55,-0.4081369048684222,1
-0.18,0.03,0.3,56,-0.40679028119635646,1
-0.18,0.03,0.3,57,-0.40842353056460273,1
-0.18,0.03,0.3,58,-0.407727796269447,1
-0.18,0.03,0.3,59,-0.40787687131381023,1
-0.18,0.05,0.02,0,-0.4080435194909754,1
-0.18,0.05,0.02,1,-0.4079796305376816,1
-0.18,0.05,0.02,2,-0.401082607140911,1
-0.18,0.05,0.02,3,-0.40236870592932356,1
-0.18,0.05,0.02,4,-0.40721377374670664,1
-0.18,0.05,0.02,5,-0.40800976151046797,1
-0.18,0.05,0.02,6,-0.40515635938127803,1
-0.18,0.05,0.02,7,-0.4021612976300394,1
-0.18,0.05,0.02,8,-0.4061338905704759,1
-0.18,0.05,0.02,9,-0.4030774519069676,1
-0.18,0.05,0.02,10,-0.3907050754238128,1
-0.18,0.05,0.02,11,-0.40770996161555817,1
-0.18,0.05,0.02,12,-0.40678409879072114,1
-0.18,0.05,0.02,13,-0.408049778896611,1
-0.18,0.05,0.02,14,-0.40531998748019404,1
-0.18,0.05,0.02,15,-0.40361844787000145,1
-0.18,0.05,0.02,16,-0.40730199341549644,1
-0.18,0.05,0.02,17,-0.4064394754512737,1
-0.18,0.05,0.02,18,-0.4080195188428771,1
-0.18,0.05,0.02,19,-0.4058021735999142,1
-0.18,0.05,0.02,20,-0.40483598335218185,1
-0.18,0.05,0.02,21,-0.402975760146762,1
-0.18,0.05,0.02,22,-0.4032487155063416,1
-0.18,0.05,0.02,23,-0.40648985019500455,1
-0.18,0.05,0.02,24,-0.4066795912845704,1
-0.18,0.05,0.02,25,-0.4083706461742873,1
-0.18,0.05,0.02,26,-0.40605325694084465,1
-0.18,0.05,0.02,27,-0.39862897883856935,1
-0.18,0.05,0.02,28,-0.4068793610015632,1
-0.18,0.05,0.02,29,-0.40720537346575286,1
-0.18,0.05,0.02,30,-0.4041148502891061,1
